"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Feb 03 2023","2459978.4999537035","697075201","29.11","6.46e-8","1.66e-8","-2.61","-","126.33","1e-8","0","bin177.log"
"Mar 05 2023","2460008.4999537035","699667201","35.9","1.07e-7","2.44e-8","-2.61","-","156.63","1e-8","0","bin178.log"
"Apr 04 2023","2460038.4999537035","702259201","49.08","1.15e-7","2.25e-8","-2.61","-","173.46","1e-8","0","bin179.log"
"May 04 2023","2460068.4999537035","704851201","39.62","1.30e-7","2.80e-8","-2.61","-","144.25","1e-8","0","bin180.log"
"Jun 03 2023","2460098.4999537035","707443201","71.66","1.14e-7","1.88e-8","-2.61","-","115.28","1e-8","0","bin181.log"
"Jul 03 2023","2460128.4999537035","710035201","187.75","1.90e-7","2.00e-8","-2.61","-","86.24","1e-8","0","bin182.log"
"Aug 02 2023","2460158.4999537035","712627201","442.32","3.19e-7","2.40e-8","-2.61","-","57.08","1e-8","0","bin183.log"
"Sep 01 2023","2460188.4999537035","715219201","34.51","8.10e-8","1.81e-8","-2.61","-","28.02","1e-8","0","bin184.log"
"Oct 01 2023","2460218.4999537035","717811201","53.03","1.77e-7","3.40e-8","-2.61","-","5.02","1e-8","0","bin185.log"
"Oct 31 2023","2460248.4999537035","720403201","38.07","1.05e-7","2.19e-8","-2.61","-","31.34","1e-8","0","bin186.log"
"Nov 30 2023","2460278.4999537035","722995201","94.96","1.17e-7","1.70e-8","-2.61","-","60.71","1e-8","0","bin187.log"
"Dec 30 2023","2460308.4999537035","725587201","77.35","1.26e-7","2.00e-8","-2.61","-","90.62","1e-8","0","bin188.log"
"Jan 29 2024","2460338.4999537035","728179201","298.93","2.29e-7","2.00e-8","-2.61","-","121.01","1e-8","0","bin189.log"
"Feb 28 2024","2460368.4999537035","730771201","747.7","6.25e-7","3.90e-8","-2.61","-","151.37","1e-8","0","bin190.log"
"Mar 29 2024","2460398.4999537035","733363201","229.54","2.71e-7","2.70e-8","-2.61","-","178.36","1e-8","0","bin191.log"
"Apr 28 2024","2460428.4999537035","735955201","200.07","2.58e-7","2.80e-8","-2.61","-","149.33","1e-8","0","bin192.log"
"May 28 2024","2460458.4999537035","738547201","417.98","3.59e-7","2.70e-8","-2.61","-","120.34","1e-8","0","bin193.log"
"Jun 27 2024","2460488.4999537035","741139201","340.63","2.27e-7","1.90e-8","-2.61","-","91.33","1e-8","0","bin194.log"
"Jul 27 2024","2460518.4999537035","743731201","90.12","1.38e-7","2.00e-8","-2.61","-","62.18","1e-8","0","bin195.log"
"Aug 26 2024","2460548.4999537035","746323201","271.47","2.69e-7","2.40e-8","-2.61","-","33.07","1e-8","0","bin196.log"
"Sep 25 2024","2460578.4999537035","748915201","231.98","3.38e-7","3.40e-8","-2.61","-","5.87","1e-8","0","bin197.log"
"Oct 25 2024","2460608.4999537035","751507201","762.56","6.11e-7","3.60e-8","-2.61","-","26.28","1e-8","0","bin198.log"
"Nov 24 2024","2460638.4999537035","754099201","1636.68","6.62e-7","2.80e-8","-2.61","-","55.54","1e-8","0","bin199.log"
